"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68"
"41035",22,22,22,22,22,21,21,20,19,19,18,17,17,16,16,16,16,16,16,16,16,16,15,15,14,14,13,13,13,12,12,11,11,11,11,11,11,10,10,10,9,9,8,8,8,7,6,6,6,6,10,9,8,8,8,7,7,7,7,7,6,6,6,5,4,3,2,1
"06033",23,23,23,23,23,22,22,21,20,20,19,18,18,17,17,17,17,17,17,17,17,17,16,16,15,33,32,31,30,29,29,28,27,26,25,24,23,22,21,20,19,18,17,16,16,15,14,13,12,12,11,10,9,9,11,10,10,9,8,8,7,6,6,5,4,3,2,1
"06035",24,24,24,24,24,23,23,22,21,21,20,19,19,18,18,18,18,18,18,18,18,18,17,17,16,15,14,14,14,13,13,12,12,12,12,12,12,11,11,11,10,10,9,9,9,8,7,11,11,11,10,9,8,8,8,7,7,7,7,7,6,6,6,5,4,3,2,1
"06037",25,25,25,25,25,24,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,17,16,15,14,13,12,11,12,11,10,9,8,7,6,5,4,3,2,1
"06039",26,26,26,26,26,25,24,23,22,22,21,20,20,19,19,19,19,19,19,19,19,19,18,18,17,16,15,15,15,14,14,13,13,13,13,28,27,26,25,24,23,22,21,20,19,18,17,16,15,15,14,13,12,11,10,9,9,8,10,9,8,7,6,5,4,3,2,1
"04013",27,27,27,27,27,26,25,24,23,23,22,21,21,20,20,20,20,20,20,20,20,20,19,19,18,17,16,16,16,15,15,14,14,14,14,13,13,12,12,12,11,11,10,10,10,9,8,7,7,7,6,6,5,5,5,4,4,4,4,4,3,3,3,2,1,3,2,1
"06041",28,28,28,28,28,27,26,25,24,24,23,22,38,37,36,35,35,34,33,32,31,31,30,29,28,27,26,25,25,24,24,23,26,25,24,23,22,21,20,19,18,17,16,15,15,14,13,12,12,12,11,10,9,9,11,10,10,9,8,8,7,6,6,5,4,3,2,1
"06043",29,29,29,29,29,28,27,26,25,25,24,23,22,21,21,21,21,21,21,21,21,21,20,20,19,18,17,17,17,16,16,15,15,15,15,14,24,23,22,21,20,19,18,17,20,19,18,17,16,16,15,14,13,12,11,10,10,9,8,8,7,6,6,5,4,3,2,1
"06045",30,30,30,30,30,29,28,27,26,26,25,24,23,22,22,22,22,22,22,22,22,22,21,21,20,19,18,18,18,17,17,16,16,16,25,24,23,22,21,20,19,18,17,16,16,15,14,13,12,12,11,10,9,9,11,10,10,9,8,8,7,6,6,5,4,3,2,1
"06047",31,31,31,31,31,30,29,28,27,27,26,25,24,23,23,23,23,42,41,40,39,38,37,36,35,34,33,32,31,30,30,29,28,27,26,25,24,23,22,21,20,19,18,17,20,19,18,17,16,16,15,14,13,12,11,10,10,9,8,8,7,6,6,5,4,3,2,1
"06049",32,32,32,32,32,31,30,29,28,28,27,26,25,24,24,24,24,23,23,23,23,23,22,22,21,20,19,19,19,18,18,17,17,24,23,22,21,20,19,18,17,16,15,14,14,13,12,11,11,11,10,9,8,8,8,7,7,7,7,7,6,6,6,5,4,3,2,1
"06051",33,33,33,33,33,32,31,30,29,29,28,27,26,25,25,25,25,24,24,24,24,24,23,23,22,21,20,20,20,19,19,18,18,17,16,15,14,13,13,13,12,12,11,11,11,10,9,8,8,8,7,7,6,6,6,5,5,5,5,5,4,4,4,3,2,1,1,1
