"Region","integration","cumulative"
"1","Region","integration","cumulative"
"147","Region8","9.86660352042534e-06","15"
"148","Region8","6.09923743255525e-06","14"
"149","Region8","4.94076873325255e-06","14"
"150","Region8","2.68538869530044e-06","13"
"151","Region8","0","13"
"152","Region8","0","13"
"153","Region8","0","12"
"154","Region8","0","11"
"155","Region8","0","10"
"156","Region8","0","9"
"157","Region8","0","9"
"158","Region8","0","9"
"159","Region8","0","8"
"160","Region8","0","8"
"161","Region8","0","7"
"162","Region8","0","7"
"163","Region8","0","7"
"164","Region8","-1.11022302462516e-16","6"
"165","Region8","-2.73308901832525e-06","5"
"166","Region8","-6.07162904908698e-06","4"
"167","Region8","-8.77683573408117e-06","3"
"168","Region8","-1.50348495125963e-05","2"
"169","Region8","-2.2501665328134e-05","1"
"170","Region9","0.300480260770666","302"
"171","Region9","0.263531549710382","301"
"172","Region9","0.25250056386602","301"
"173","Region9","0.242615039495593","300"
"174","Region9","0.239048867396639","300"
"175","Region9","0.238956042876461","299"
"176","Region9","0.237561688348535","298"
"177","Region9","0.235440912129101","297"
"178","Region9","0.234427325560284","296"
"179","Region9","0.232337800622753","296"
"180","Region9","0.230649288711632","296"
"181","Region9","0.225842163777168","295"
"182","Region9","0.224991648450214","295"
"183","Region9","0.22174585355627","294"
"184","Region9","0.219954249343989","294"
"185","Region9","0.218638799117183","293"
"186","Region9","0.217785705023481","292"
"187","Region9","0.215902369222166","292"
"188","Region9","0.214702046949798","291"
"189","Region9","0.211333559580031","291"
"190","Region9","0.208509143254992","290"
"191","Region9","0.207333722873282","289"
"192","Region9","0.201773133337365","288"
"193","Region9","0.197862470249285","288"
"194","Region9","0.193814655987505","288"
"195","Region9","0.19178860954216","288"
"196","Region9","0.191636622258533","287"
"197","Region9","0.187917961113538","286"
"198","Region9","0.184499549475976","286"
"199","Region9","0.176666851033673","286"
"200","Region9","0.176466474210942","286"
"201","Region9","0.174811382166392","286"
"202","Region9","0.174299922983237","286"
"203","Region9","0.171046055000476","285"
"204","Region9","0.170684791394069","284"
"205","Region9","0.169941633699786","284"
"206","Region9","0.16655970013139","284"
"207","Region9","0.162796542679877","283"
"208","Region9","0.158988130805161","282"
"209","Region9","0.158307562186685","281"
"210","Region9","0.154408749175295","282"
"211","Region9","0.153491844905816","282"
"212","Region9","0.153195287329595","282"
"213","Region9","0.152665544741884","282"
"214","Region9","0.15049830470301","281"
"215","Region9","0.150072012310547","280"
"216","Region9","0.148662833063108","280"
"217","Region9","0.145919105256309","279"
"218","Region9","0.14432858329384","278"
"219","Region9","0.143156793882265","278"
"220","Region9","0.141948655486441","278"
"221","Region9","0.140407499823078","278"
"222","Region9","0.137466275664326","277"
"223","Region9","0.137072582640831","277"
"224","Region9","0.13596499892062","276"
"225","Region9","0.13553212749979","275"
"226","Region9","0.134586637121591","275"
"227","Region9","0.134112246841975","274"
"228","Region9","0.127718078791379","273"
"229","Region9","0.12762417604364","272"
"230","Region9","0.125706467523032","272"
"231","Region9","0.12364523161679","272"
"232","Region9","0.123380757052057","272"
"233","Region9","0.123251302694584","272"
"234","Region9","0.122194197000524","272"
"235","Region9","0.121529673343455","272"
"236","Region9","0.120464447650987","271"
"237","Region9","0.120199451296911","270"
"238","Region9","0.119240618781644","270"
