"height","cumul"
"1",0.318680762631412,392
"2",0.293085739810847,391
"3",0.276039454264236,390
"4",0.267436177834308,389
"5",0.257829052979827,389
"6",0.255419674334311,389
"7",0.253219821694002,389
"8",0.251849263806292,388
"9",0.247995470100474,387
"10",0.245573723361922,387
"11",0.245402108577549,387
"12",0.241974260496003,386
"13",0.235905880913503,385
"14",0.235507670224172,384
"15",0.234458756289864,383
"16",0.231833687836433,383
"17",0.227022416832534,382
"18",0.222828241000828,381
"19",0.222373433019953,380
"20",0.207213915660947,379
"21",0.204031359503771,379
"22",0.202034669926035,378
"23",0.200315973396127,378
"24",0.199045180619071,377
"25",0.198283417010822,377
"26",0.198008186728177,376
"27",0.192713318249896,375
"28",0.190498846250381,374
"29",0.185867285850414,373
"30",0.185282101779524,372
"31",0.178368557566079,372
"32",0.177751460216407,371
"33",0.176875019829104,371
"34",0.17619911509528,370
"35",0.173536502752757,369
"36",0.172168789812384,369
"37",0.169068778417543,368
"38",0.167812357887113,368
"39",0.165505976539598,367
"40",0.164780199600913,366
"41",0.164746512993286,366
"42",0.162326421238052,366
"43",0.161794599314507,366
"44",0.160400961722273,365
"45",0.155330600588536,364
"46",0.155313258967602,364
"47",0.154722436776154,364
"48",0.153956192845684,364
"49",0.151023119659506,364
"50",0.1492546545366,363
"51",0.148507323905111,363
"52",0.147983962068544,363
"53",0.147368536391898,363
"54",0.146059991392829,363
"55",0.145344736913359,363
"56",0.144437627790956,362
"57",0.144040318898739,361
"58",0.143495842545713,360
"59",0.140545262090012,359
"60",0.140502766590361,358
"61",0.140466665754633,358
"62",0.140194154496969,357
"63",0.140046680348508,356
"64",0.139025152249882,357
"65",0.13899832068932,356
"66",0.138120722758718,356
"67",0.137130278375984,355
"68",0.136948539313346,356
"69",0.136903175629101,355
"70",0.135844972842049,356
"71",0.135068556759897,355
"72",0.134478548402272,354
"73",0.134015926023756,353
"74",0.133471651312955,353
"75",0.132447195010163,353
"76",0.132202874622333,352
"77",0.13092127183226,352
"78",0.130135253005092,351
"79",0.129668738379635,350
"80",0.128664287263177,349
"81",0.127534322264783,348
"82",0.127295305300353,349
"83",0.126479275360149,348
"84",0.125771175140805,347
"85",0.125628287545185,347
"86",0.125365767395123,346
"87",0.124490468333806,346
"88",0.12380613037735,345
"89",0.123713161006877,345
"90",0.121223075199151,344
"91",0.121041623605882,344
"92",0.119473718289287,343
"93",0.118493614966246,343
"94",0.118160302064641,342
"95",0.118016030412055,342
"96",0.117270078979899,342
"97",0.116283846160277,341
"98",0.115758493001762,341
"99",0.115544311833366,341
"100",0.114133671441214,340
"101",0.113763419448975,339
"102",0.113488914484758,338
"103",0.112127900860496,337
"104",0.111703418976592,336
"105",0.111028259255352,336
"106",0.110011193399962,337
"107",0.109239264893257,337
"108",0.1091281048769,336
"109",0.10816084657769,335
"110",0.10709511230749,334
"111",0.106464223887384,334
"112",0.1064175334051,334
"113",0.106049956544107,334
"114",0.106035099813975,333
"115",0.105387639298051,333
"116",0.105211384697867,332
"117",0.104987265725909,332
"118",0.104959584346689,333
"119",0.104554795292608,333
"120",0.104126033760734,332
"121",0.102598123077534,332
"122",0.102015239351081,332
"123",0.101768232287446,333
"124",0.10150368361289,332
"125",0.100024360589583,333
"126",0.0997625139606926,334
"127",0.0988173357536566,333
"128",0.098681972707548,332
"129",0.098014469053595,332
"130",0.0976879966083633,332
"131",0.0950724327940417,331
"132",0.0937109001207506,330
"133",0.0935227530774872,330
"134",0.0921740031121049,329
"135",0.0920734577660769,329
"136",0.0919218736710949,328
"137",0.0918351674811758,329
"138",0.0915860221815114,329
"139",0.0915135269846911,329
"140",0.0914914166995638,329
"141",0.0908982517970721,328
"142",0.0908812162804349,328
"143",0.0903047113255336,327
"144",0.0900754343398811,326
"145",0.089438216956574,326
"146",0.0893062293657202,326
"147",0.0890917104465083,325
"148",0.0884260981396357,324
"149",0.0883173821969129,324
"150",0.0871060935610996,323
"151",0.0863022868934196,323
"152",0.0862230372842704,323
"153",0.0861197673064861,324
"154",0.0858003591864815,323
"155",0.0856475732342054,323
"156",0.0855224828479788,323
"157",0.0850233007852197,323
"158",0.0848049192618965,322
"159",0.0843519269562534,322
"160",0.0840507181065108,322
"161",0.083979746357818,322
"162",0.0837971395761331,323
"163",0.0837957614888458,323
"164",0.0837355266740879,322
"165",0.0835924048881952,321
"166",0.0834040318441173,322
"167",0.0831651368133277,322
"168",0.0827703312812914,322
"169",0.0823724614702068,321
"170",0.0822625880882347,321
"171",0.0822111458705538,322
"172",0.0821782363343616,322
"173",0.0819276640247282,321
"174",0.0815996019439246,321
"175",0.0815276860865258,321
"176",0.0812747546244409,321
"177",0.0808688508175263,322
"178",0.0802827221901212,323
"179",0.0795485075321099,323
"180",0.0794968635582334,323
"181",0.0790013563969723,322
"182",0.0788672134515397,321
"183",0.0783765863278209,320
"184",0.0780181156119193,320
"185",0.0779469659695071,319
"186",0.0774313144565896,319
"187",0.077407635001688,318
"188",0.0772089879029391,318
"189",0.0760974905287309,317
"190",0.0759314861334234,316
"191",0.0748103846541607,315
"192",0.0746461250463401,314
"193",0.0743758188545238,315
"194",0.0727177435363802,314
"195",0.0719313304156443,314
"196",0.0718548233340258,313
"197",0.0716445454143921,313
"198",0.0711580066073025,312
"199",0.070892528844948,312
"200",0.070463658384393,312
"201",0.0697340908266134,311
"202",0.0693331174074095,311
"203",0.0691858208012401,311
"204",0.0689571457580345,312
"205",0.0686106923991187,312
"206",0.0684530816449024,312
"207",0.068439376749671,312
"208",0.068346945099945,312
"209",0.0681220114548539,312
