"height","cumul","Region"
"140",3.28796904872641e-05,16,"Region8"
"141",3.2290702430382e-05,16,"Region8"
"142",2.08156172334384e-05,15,"Region8"
"143",1.55741406967502e-05,16,"Region8"
"144",1.39669729054548e-05,15,"Region8"
"145",1.36763825968611e-05,15,"Region8"
"146",9.86660352042534e-06,15,"Region8"
"147",6.09923743255525e-06,14,"Region8"
"148",4.94076873325255e-06,14,"Region8"
"149",2.68538869530044e-06,13,"Region8"
"150",0,13,"Region8"
"151",0,13,"Region8"
"152",0,12,"Region8"
"153",0,11,"Region8"
"154",0,10,"Region8"
"155",0,9,"Region8"
"156",0,9,"Region8"
"157",0,9,"Region8"
"158",0,8,"Region8"
"159",0,8,"Region8"
"160",0,7,"Region8"
"161",0,7,"Region8"
"162",0,7,"Region8"
"163",-1.11022302462516e-16,6,"Region8"
"164",-2.73308901832525e-06,5,"Region8"
"165",-6.07162904908698e-06,4,"Region8"
"166",-8.77683573408117e-06,3,"Region8"
"167",-1.50348495125963e-05,2,"Region8"
"168",-2.2501665328134e-05,1,"Region8"
