"height","cumul"
"1",0.1876498222109,0
"2",0.180161610504649,-133.543232914363
"3",0.177947056917357,-451.558276005852
"4",0.177862938746671,-11888.0378857859
"5",0.174398817660756,-288.673512039117
"6",0.154197787136655,-49.5024250771239
"7",0.144392471213746,-101.985495200995
"8",0.125615685727489,-53.2572521921768
"9",0.120779047109855,-206.755161808874
"10",0.11674348589053,0
"11",0.111625698554698,-195.396942932466
"12",0.11117542654228,0
"13",0.110634517624964,-1848.74008911188
"14",0.10037746434359,0
"15",0.0997313992379757,-1547.83162147291
"16",0.0899457733149503,0
"17",0.0893172082862639,1590.92528913024
"18",0.0848207107531392,0
"19",0.0839528709138029,-1152.28634901662
"20",0.0827127283367152,-806.358896529781
"21",0.0816170144652529,0
"22",0.0810257795500833,-1691.37507671234
"23",0.074690215183743,-157.839135107336
"24",0.0721068935239244,0
"25",0.0710215219863712,-921.34348967209
"26",0.0646409017990686,0
"27",0.0596785883254022,0
"28",0.0573526133435752,-429.927238174555
"29",0.0542087155963303,0
"30",0.0533031151901773,-1104.23978744451
"31",0.0517840509474885,0
"32",0.05041340889845,0
"33",0.0482123425311488,-454.32523746484
"34",0.046766940620639,0
"35",0.0467589115487811,-124547.396972089
"36",0.046411385887069,-2877.48534906265
"37",0.0460573422534478,-2824.51061122589
"38",0.0457650614686039,-3421.36757479257
"39",0.0440241309359344,-574.405458020561
"40",0.0437879699061837,0
"41",0.0435105263902623,-3604.33725286008
"42",0.0418737142753065,0
"43",0.04171857249431,-6445.71690215946
"44",0.0391458377300433,0
"45",0.0389729024666567,-5782.51063673823
"46",0.0383177026014718,-1526.25184029586
"47",0.0382492994481062,-14619.2090685427
"48",0.0379585966053001,0
"49",0.036698669604711,793.69677729936
"50",0.0340427473418373,-376.517044184118
"51",0.0334925192798176,0
"52",0.0309940828298966,-400.250324570653
"53",0.0297487478316522,-802.99678512985
"54",0.0295771632406088,5828.02915995622
"55",0.0290304714672626,-1829.18428400553
"56",0.0288889526748674,-7066.19935822624
"57",0.0276467057074076,0
"58",0.0272819047787647,0
"59",0.0261544731330371,-886.971732423471
"60",0.0252856510888788,-1150.98368730812
"61",0.0244415470452069,0
"62",0.0243677071199376,-13542.8089391014
"63",0.0240377571422918,-3030.76244203755
"64",0.0237085291679699,3037.40896277026
"65",0.0219847950204791,0
"66",0.0202267621341825,-568.817573206258
"67",0.0189724163456483,-797.228331406605
"68",0.018375257923285,-1674.59749800133
"69",0.0172131803045104,0
"70",0.0169753354982716,0
"71",0.0168395832252621,0
"72",0.0166439408586669,-5111.36732499967
"73",0.0164888131651592,0
"74",0.0160553106948418,0
"75",0.0159123039673147,-6992.6780179662
"76",0.015699965954524,-4709.4723495681
"77",0.0151503122316921,1819.32725725529
"78",0.0143137343565937,-1195.34598005291
"79",0.0142542350815675,0
"80",0.0140690719551957,-5400.64331162833
"81",0.0134242848868715,0
"82",0.0133455962249284,0
"83",0.0130431367675249,0
"84",0.0127678349686195,-3632.37728186241
"85",0.0110163884862918,-570.95664074815
"86",0.0103915371725909,0
"87",0.00983386430160021,0
"88",0.00948603550453669,2874.97759944637
"89",0.00942796492851516,-17220.4250157473
"90",0.00923354046697966,-5143.38572472988
"91",0.00918723614629335,0
"92",0.00908143542575296,0
"93",0.00871485094750779,0
"94",0.00852973859640699,-5402.1246775449
"95",0.00779578911668555,0
"96",0.0076400483252419,-6420.92537690635
"97",0.00762069646834707,0
"98",0.00727327688506885,0
"99",0.0067336725916945,-1853.20986559728
"100",0.00657605078087647,-6344.29965504287
"101",0.00639928453029948,-5657.18850026977
"102",0.00625554063854139,-6956.8173490318
"103",0.00593131840325228,-3084.30419372165
"104",0.00582753196909702,0
"105",0.00571304910443166,-8734.93166792256
"106",0.00571173447392015,-760670.006703363
"107",0.0056617098939396,-19990.1728388104
"108",0.00554640597495926,0
"109",0.00550930676555444,-26954.7522991232
"110",0.00407215757895651,-695.821985167201
"111",0.00397849157385466,-10676.2319895309
"112",0.00368598645433765,-3418.74358182596
"113",0.00359452450117148,-10933.5080367588
"114",0.00347077967314929,0
"115",0.00326142547458547,0
"116",0.00287663376717373,-2598.80860407934
"117",0.00243422791930559,-2260.36795132519
"118",0.00240403671774519,0
"119",0.00200038697135907,-2477.39533829266
"120",0.00185165532725795,-6723.51876457525
"121",0.00155091361109094,0
"122",0.00154565022105213,-189991.619968502
"123",0.00148025486728487,0
"124",0.00144875444828502,-31745.6094791845
"125",0.00140932028490837,-25358.7223456125
"126",0.00140336126290852,-167812.771965904
"127",0.0013384185740789,-15398.1921294265
"128",0.00116397080357211,-5732.37477953935
"129",0.00111134360226567,-19001.580459829
"130",0.00103889871262947,0
"131",0.000740953347525608,-3356.32004092905
"132",0.000569753368918235,0
"133",0.000558077632402176,-85647.7018494356
"134",0.000516961559190121,-24321.3887387184
"135",0.000491731728910649,0
"136",0.000460311140032588,-31826.2653790749
"137",0.000422113913923494,-26179.9115240448
"138",0.000383704438797872,-26035.2425210026
"139",0.000374699221749875,-111046.740425032
"140",0.000368543058395621,-162438.834458315
"141",0.000368165896120043,-2651378.63660479
"142",0.00020023592852636,-5954.86329408199
"143",0.00019315745656745,-141273.428192541
